brand,model,market,min_open_w,min_open_h,min_open_d,min_open_d_offset,body_w_facing,body_w_rear,rear_w_unverified,feet_w,feet_from_rear,body_d,body_h_facing,body_h_rear,body_h_no_tabs,collar_edge_from_facing,taper,faceplate_w,glass_w,glass_h,firebox_cuft,btu_advertised,btu_tested,hhv,lhv,emissions_g_hr,burn_hr,tax_credit,hearth_front,hearth_side,weight_lb,msrp,product_url,brochure_url,manual_url,spec_url,flag,note,data_status
Osburn,1700-I,US,27.5,21.5,12.875,,27.125,,27.125,,,22.375,21.25,,,,straight,,,,1.86,65000,,68,,2.4,7,no,16,8,,,https://www.osburn-mfg.com/en/products/wood-inserts/1700-wood-insert/,https://sbiweb.blob.core.windows.net/media/7815/pub043a_osburn_en-usa_2025-10_web.pdf,https://sbiweb.blob.core.windows.net/media/6998/45981_ia_2023-09-06.pdf,https://sbiweb.blob.core.windows.net/media/5169/ob01705-osburn-1700-i.pdf,,,
Osburn,MATRIX 1900,US,26,19,15.5,,25,23.125,,,,15.25,23.875,17,,,tapered,36,,,1.1,45000,,75,,1.5,7,yes,16,8,,,https://www.osburn-mfg.com/en/products/wood-inserts/matrix-1900-wood-insert/,https://sbiweb.blob.core.windows.net/media/7815/pub043a_osburn_en-usa_2025-10_web.pdf,https://sbiweb.blob.core.windows.net/media/7872/46278_ia_2026-06-26.pdf,https://sbiweb.blob.core.windows.net/media/6661/ob01900_matrix-1900.pdf,"Manufacturer minimum is 26"" width (manual) — that is what this tool tests against. Wiggle room: the product page says 25"" and the body measures 25"" at the facing, so 25"" may be achievable. Confirm on site; do not quote 25"" off this tool.",,
Osburn,2000-I,US,28.875,23.375,15.75,,28.375,,28.375,,,26.375,23.125,,,,straight,,,,2.4,75000,,72,,2.3,8,no,16,8,,,https://www.osburn-mfg.com/en/products/wood-inserts/2000-wood-insert/,https://sbiweb.blob.core.windows.net/media/7815/pub043a_osburn_en-usa_2025-10_web.pdf,https://sbiweb.blob.core.windows.net/media/7111/45927a_2024-02-28.pdf,https://sbiweb.blob.core.windows.net/media/4695/ob02016_osburn-2000-i.pdf,,,
Osburn,INSPIRE 2000-I,US,29,24.625,20.75,,27,27,,28.5,4,20.875,24.375,23.625,23.625,12.25,straight,,20.25,9.5,2.4,75000,,72,,2.3,8,no,16,8,435,,https://www.osburn-mfg.com/en/products/wood-inserts/inspire-wood-insert/,https://sbiweb.blob.core.windows.net/media/7815/pub043a_osburn_en-usa_2025-10_web.pdf,https://sbiweb.blob.core.windows.net/media/7873/45952a_2025-12-02.pdf,https://sbiweb.blob.core.windows.net/media/4659/ob02045_osburn-inspire-2000-i-nord-am%C3%A9ricain.pdf,,"Feet are the widest point at 28½"", about 4"" in from the rear — wider than the 27"" body, so the feet govern the rear fit. 24⅜"" height clears the flue collar tabs; the body alone is 23⅝"" and has been squeezed in before.",
Osburn,MATRIX-I,US,28.875,23.375,19.625,,28.375,,28.375,,,23.125,25.125,,,,straight,36.125,,,2.4,75000,,72,,2.3,8,no,16,8,491,,https://www.osburn-mfg.com/en/products/wood-inserts/matrix-wood-insert/,https://sbiweb.blob.core.windows.net/media/7815/pub043a_osburn_en-usa_2025-10_web.pdf,https://sbiweb.blob.core.windows.net/media/7906/45929a_2026-04-09.pdf,https://sbiweb.blob.core.windows.net/media/4680/ob02028_osburn-matrix-i.pdf,Opening depth varies with projection kit.,,
Osburn,3500-I,US,31,26.25,18.375,,30.375,,30.375,,,29,24.875,,,,straight,,,,3.5,110000,,71,,1.6,10,no,16,8,540,,https://www.osburn-mfg.com/en/products/wood-inserts/3500-wood-insert/,https://sbiweb.blob.core.windows.net/media/7815/pub043a_osburn_en-usa_2025-10_web.pdf,https://sbiweb.blob.core.windows.net/media/7017/46180a_2023-08-25.pdf,https://sbiweb.blob.core.windows.net/media/5672/ob03510-osburn-35-i.pdf,,,
Osburn,MATRIX 2700,US,31.75,27.125,22.125,,30.75,25.75,,,,21.125,26.125,22.375,,11.5,tapered,43.625,,,2.5,80000,,64,,1.2,8,no,20,8,,,https://www.osburn-mfg.com/en/products/wood-inserts/matrix-2700-wood-insert/,https://sbiweb.blob.core.windows.net/media/7815/pub043a_osburn_en-usa_2025-10_web.pdf,https://sbiweb.blob.core.windows.net/media/7876/45999a_2025-12-04.pdf,https://sbiweb.blob.core.windows.net/media/5186/ob02700-osburn-matrix-2700-encastrable.pdf,,,
Regency,Classic I1150,US,23,19,13.75,16.5,22.75,,,,,19.75,20.1875,,,,,,,,0.98,55000,,70,75,1.7,8,no,16,8,,,https://www.regency-fire.com/en/Products/Wood/Wood-Inserts/I1150,https://assets.regency-fire.com/getdoc/aa3deac3-ac49-44e0-935e-31d276c5a721/Regency-Wood-Inserts-FP-Brochure,https://assets.regency-fire.com/getattachment/e1d6d18d-6525-4f4c-9196-6267c1f8f6c3/i1150-1-English-Manual.aspx,https://assets.regency-fire.com/getdoc/e5cfd4ff-50ff-46ac-bf36-4250c894a79a/Spec-sheet-I1150,,,
Regency,Cascades I1500,US,23,19,13.75,16.5,,,,,,,,,,,,,,,0.98,55000,,78,84,1,10,yes,16,8,,,https://www.regency-fire.com/en/Products/Wood/Wood-Inserts/I1500,https://assets.regency-fire.com/getdoc/aa3deac3-ac49-44e0-935e-31d276c5a721/Regency-Wood-Inserts-FP-Brochure,https://assets.regency-fire.com/getattachment/13591ea6-09cc-448b-9dad-3a8cb475e00f/I1500-English-Manual.aspx,https://assets.regency-fire.com/getdoc/8b1aad23-16e3-4125-b5a8-2f4d743b86e4/I1500-specsheet,,,
Regency,Hampton HI1150,US,25,19.625,15,18.0625,,,,,,,,,,,,,,,0.98,55000,,70,75,1.7,8,no,16,8,,,https://www.regency-fire.com/en/Products/Wood/Wood-Inserts/HI1150,https://assets.regency-fire.com/getdoc/aa3deac3-ac49-44e0-935e-31d276c5a721/Regency-Wood-Inserts-FP-Brochure,https://assets.regency-fire.com/getattachment/810252b7-e315-4858-a012-59116daea87c/Hi1150-1-English-Manual.aspx,https://assets.regency-fire.com/getdoc/9928f383-02a8-47d7-9614-1ebad79ebf6b/Spec-sheet-Hi1150,,,
Regency,Classic I2450,US,25,21.5,17,,,,,,,,,,,,,,,,2.3,75000,,70.3,76,1.6,10,no,16,8,,,https://www.regency-fire.com/en/Products/Wood/Wood-Inserts/I2450,https://assets.regency-fire.com/getdoc/aa3deac3-ac49-44e0-935e-31d276c5a721/Regency-Wood-Inserts-FP-Brochure,https://assets.regency-fire.com/getattachment/b31aadbf-c435-4782-97e9-8027f269b0d6/i2450-2-English-Manual.aspx,https://assets.regency-fire.com/getdoc/5393a2be-33a0-4c80-b107-d438510c50c5/Spec-sheet-I2450,,,
Regency,Hampton HI2450,US,25,21.5,17,,,,,,,,,,,,,,,,2.3,75000,,70.3,76,1.6,10,no,16,8,,,https://www.regency-fire.com/en/Products/Wood/Wood-Inserts/HI2450,https://assets.regency-fire.com/getdoc/aa3deac3-ac49-44e0-935e-31d276c5a721/Regency-Wood-Inserts-FP-Brochure,https://assets.regency-fire.com/getattachment/8ec674d1-c38c-4271-a95a-7dd19534b515/Hi2450-2-English-Manual.aspx,https://assets.regency-fire.com/getdoc/5dc10b61-bed9-4c88-9b44-50c5f9f4d957/Spec-sheet-Hi2450,,,
Regency,Cascades I2500,US,25,21.5,17,,,,,,,,,,,,,,,,2.3,83000,,78.3,84.7,1.4,12,yes,16,8,,,https://www.regency-fire.com/en/Products/Wood/Wood-Inserts/I2500,https://assets.regency-fire.com/getdoc/aa3deac3-ac49-44e0-935e-31d276c5a721/Regency-Wood-Inserts-FP-Brochure,https://assets.regency-fire.com/getattachment/b1d5036d-1c68-4ac0-b5f6-f0775fd2a48e/I2500M-1-English-Manual.aspx,https://assets.regency-fire.com/getdoc/4f8f723b-5211-4b90-8cc4-7ef94e3b4465/Spec-Sheet-I2500-1,,,
Regency,Pro-Series CI2700,US,29,21.75,19,,28.875,,,,,21.5,,,,,,,,,2.6,78000,27000,77,83,1.1,14,yes,16,8,,,https://www.regency-fire.com/en/Products/Wood/Wood-Inserts/CI2700,https://assets.regency-fire.com/getdoc/aa3deac3-ac49-44e0-935e-31d276c5a721/Regency-Wood-Inserts-FP-Brochure,https://assets.regency-fire.com/getattachment/8d2c6fc7-5cf6-4416-bff3-466afb95ad27/CI2700-1-HI500-1.aspx,https://assets.regency-fire.com/getdoc/8e7b2a25-5aea-4b71-96c1-b4d97e52ef55/Spec-Sheet-CI2700-1_HI500-1,"Body is 28⅞"" against a 29"" minimum opening — ⅛"" clearance. Measure twice.",,
Regency,Hampton HI500,US,29,21.75,19,,28.875,,,,,21.5,,,,,,,,,2.6,78000,27000,77,83,1.1,14,yes,16,8,,,https://www.regency-fire.com/en/Products/Wood/Wood-Inserts/HI500,https://assets.regency-fire.com/getdoc/aa3deac3-ac49-44e0-935e-31d276c5a721/Regency-Wood-Inserts-FP-Brochure,https://assets.regency-fire.com/getattachment/ae5d549d-e72f-47e0-bd87-47d72597d54a/CI2700-1-HI500-1.aspx,https://assets.regency-fire.com/getdoc/8e7b2a25-5aea-4b71-96c1-b4d97e52ef55/Spec-Sheet-CI2700-1_HI500-1,"Body is 28⅞"" against a 29"" minimum opening — ⅛"" clearance. Measure twice.",,
MF Fire,Nova,US,30,25,16,,,,,,,,,,,,,,,,1.7,50000,,,,,,unknown,18,16,,,https://mffire.com/product/nova-wood-burning-stove-insert/,https://mffire.com/app/uploads/2021/03/MF-Fire-Brochure-3-15-21.pdf,,,,,
